zone_name,status
LEZ 's-Hertogenbosch,active
ZE Dordrecht,active
LEZ Delft,active
ZE zone Alphen aan den Rijn,active
LEZ Haarlem,active
ZE Haarlemmermeer,active
ZE Zwolle,active
ZE Ede,active
ZE Gouda,active
ZE Amersfoort 2027,active
ZE Enschede,active
ZE Haarlem,active
ZE Arnhem,active
ZE Zone,active
ZE 's-Hertogenbosch,active
onbekend,active
ZE Amsterdam,active
LEZ Den Haag,active
ZE Den Haag,active
LEZ Breda,active
ZE Rotterdam,active
LEZ Tilburg,active
LEZ Utrecht,active
ZE Tilburg,active
Milieuzone Amsterdam,active
ZE Leiden,active
ZE Amersfoort 2025,active
LEZ Leiden,active
ZE Assen,active
ZE Den Haag Kust,active
ZE Groningen,active
ZE Delft,active
LEZ Rijswijk,active
ZES Maastricht,active
ZE Utrecht,active
Milieuzone Arnhem,active
LEZ Amsterdam,active
ZE Nijmegen,active
ZE Deventer,active
Milieuzone Maastricht,active
LEZ Rotterdam Maasvlakte,active
ZE Apeldoorn,active
