Year_Month,Average NO2 Value
1990-01,37
1990-02,34
1990-03,38
1990-04,35
1990-05,38
1990-06,34
1990-07,30
1990-08,40
1990-09,35
1990-10,43
1990-11,42
1990-12,38
2016-01,30
2016-02,27
2016-03,25
2016-04,22
2016-05,20
2016-06,18
2016-07,17
2016-08,19
2016-09,27
2016-10,25
2016-11,31
2016-12,37
2017-01,37
2017-02,29
2017-03,29
2017-04,21
2017-05,21
2017-06,18
2017-07,17
2017-08,21
2017-09,23
2017-10,22
2017-11,29
2017-12,27
2018-01,25
2018-02,28
2018-03,26
2018-04,25
2018-05,21
2018-06,16
2018-07,17
2018-08,19
2018-09,23
2018-10,27
2018-11,28
2018-12,26
2019-01,26
2019-02,36
2019-03,21
2019-04,20
2019-05,17
2019-06,17
2019-07,17
2019-08,18
2019-09,19
2019-10,21
2019-11,27
2019-12,26
2020-01,25
2020-02,17
2020-03,17
2020-04,17
2020-05,14
2020-06,14
2020-07,13
2020-08,16
2020-09,21
2020-10,17
2020-11,24
2020-12,23
2021-01,21
2021-02,22
2021-03,20
2021-04,15
2021-05,14
2021-06,15
2021-07,13
2021-08,12
2021-09,18
2021-10,19
2021-11,25
2021-12,23
2022-01,23
2022-02,17
2022-03,24
2022-04,15
2022-05,17
2022-06,14
2022-07,13
2022-08,15
2022-09,18
2022-10,21
2022-11,20
2022-12,24
2023-01,17
2023-02,24
2023-03,16
2023-04,14
2023-05,13
2023-06,13
2023-07,12
2023-08,13
2023-09,19
2023-10,17
2023-11,17
2023-12,17
2024-01,19
2024-02,17
2024-03,17
2024-04,13
2024-05,14
2024-06,12
2024-07,12
2024-08,13
2024-09,14
2024-10,18
2024-11,19
2024-12,17
